EmployeeNumber,Name,gender,Branch,Date of join,Date of leaving
1539,Granthem Wigg,Male,New York,23-12-2018,
1555,Rolfe Bassford,Male,New York,17-01-2019,
1556,Zebulon Tong,Male,New York,07-12-2018,
1560,Welch Bulmer,Male,New York,13-10-2018,
1583,Etan Corradini,Male,New York,26-04-2018,
1598,Jackie Hammonds,Male,New York,16-05-2018,
1615,Dallis Lamas,Male,New York,03-01-2019,
1623,Lewiss Byfield,Male,New York,03-06-2018,
1628,Abel Thomel,Male,New York,28-06-2018,
1631,Terri Phizackarley,Male,New York,19-07-2018,
1642,Tabb Jarrel,Male,New York,28-02-2019,
1644,Matias Baudichon,Male,New York,24-11-2018,
1654,Eberhard Honatsch,Male,New York,14-07-2018,
1691,Eberhard Barsby,Male,New York,28-02-2019,
1716,Mordy Warwicker,Male,New York,11-05-2018,
1718,Damon Wilsone,Male,New York,12-10-2018,
1747,Arvy Oboy,Male,New York,23-03-2018,
1757,Anatole Bemwell,Male,New York,04-09-2018,
1766,Northrop Olivera,Male,New York,31-08-2018,
1801,Orion Crebo,Male,New York,15-06-2018,
1816,Barclay Boscher,Male,New York,12-04-2018,
1836,Chrotoem Eyckelbeck,Male,New York,05-09-2018,
1867,Falkner Legier,Male,New York,26-06-2018,
1885,Skylar Potier,Male,New York,02-09-2018,
1893,Tudor Brevetor,Male,New York,04-04-2018,
1929,Isaiah McCracken,Male,New York,04-03-2018,
1936,Teddy Stuchbury,Male,New York,04-01-2018,
1954,Merv Spittles,Male,New York,02-01-2018,
2009,Tyrone Giddens,Male,New York,11-06-2018,
2020,Brnaby Dreng,Male,New York,08-10-2018,
2024,Robers Mainwaring,Male,New York,25-01-2018,
2026,Hazel Vanichkov,Male,New York,27-05-2018,
2036,Riccardo Sebastian,Male,New York,05-05-2018,
2049,Cullin Youster,Male,New York,22-01-2018,
2051,Luigi Philcock,Male,New York,10-04-2018,
2052,Matt Cleghorn,Male,New York,03-10-2018,
2060,Shepherd Androletti,Male,New York,09-02-2019,
1,Jeni Kilpin,Female,New York,24-10-2018,
10,Karly Desvignes,Female,New York,10-08-2018,
15,Alana Syder,Female,New York,15-02-2019,
30,Bridie Setterthwait,Female,New York,02-08-2018,
31,Valaria Baden,Female,New York,06-12-2018,
42,Dyann Regina,Female,New York,21-05-2018,
45,Dorolisa Myring,Female,New York,05-11-2018,
54,Clemence Faers,Female,New York,10-01-2019,
58,Malvina Laban,Female,New York,04-01-2019,
61,Charity Franz,Female,New York,03-01-2018,
64,Sofia Whiston,Female,New York,12-05-2018,
68,Darleen Stidston,Female,New York,18-03-2018,
100,Sidonnie Blethyn,Female,New York,12-08-2018,
139,Rasia Rickard,Female,New York,25-11-2018,
198,Maren Dmitrichenko,Female,New York,04-02-2019,
200,Claude Brilleman,Female,New York,13-01-2018,
205,Regan Robjents,Female,New York,02-04-2018,
215,Gianna Sowerbutts,Female,New York,28-04-2018,
227,Traci Edwicke,Female,New York,19-10-2018,
246,Gerrilee Kendal,Female,New York,12-02-2019,
247,Collie Vasilechko,Female,New York,17-10-2018,
253,Jenifer Wybourne,Female,New York,23-01-2019,
259,Merrilee Thornbarrow,Female,New York,17-06-2018,
264,Julietta Greenard,Female,New York,29-09-2018,
302,Aurelie Tunny,Female,New York,25-03-2018,
315,Noreen Simenon,Female,New York,19-09-2018,
325,Chelsae Crebo,Female,New York,06-06-2018,
332,Georgette Gemelli,Female,New York,16-02-2018,
335,Gussi Margach,Female,New York,14-01-2019,
351,Lianna Beggio,Female,New York,12-12-2018,
353,Anna-maria Niave,Female,New York,22-09-2018,
359,Seana Hallwell,Female,New York,22-01-2018,
369,Beulah Sincock,Female,New York,12-12-2018,
376,Judy Brittles,Female,New York,08-09-2018,
380,Carroll Treuge,Female,New York,17-01-2019,
388,Malia Pirrie,Female,New York,10-01-2018,
407,Dreddy Zink,Female,New York,23-06-2018,
429,Marcela Flockhart,Female,New York,17-07-2018,
430,Laura McShea,Female,New York,26-10-2018,
434,Eleonore Coey,Female,New York,10-08-2018,
450,Bernadene Manuel,Female,New York,29-05-2018,
474,Dinnie Zammitt,Female,New York,10-09-2018,
524,Joline Mieville,Female,New York,19-03-2018,
530,Cally Fenny,Female,New York,17-04-2018,
547,Isabelle Condit,Female,New York,21-12-2018,
556,Valenka Phayre,Female,New York,12-01-2018,
567,Cordie Gibbieson,Female,New York,03-02-2018,
577,Celestina Canet,Female,New York,05-10-2018,
587,Linda Blucher,Female,New York,21-08-2018,
621,Dorothee McCusker,Female,New York,02-02-2018,
647,Vita Puckring,Female,New York,19-10-2018,
662,Margette Livesley,Female,New York,03-02-2019,
677,Morena Maffin,Female,New York,05-12-2018,
689,Jana Celes,Female,New York,01-04-2018,
733,Romona Sartain,Female,New York,12-02-2018,
771,Marja Tersay,Female,New York,04-01-2018,
773,Melania Sisselot,Female,New York,29-04-2018,
837,Dorothea Abley,Female,New York,24-02-2019,
850,Charlot Sleet,Female,New York,11-12-2018,
861,Elnora Bainbridge,Female,New York,25-03-2018,
882,Jerrilyn Rostron,Female,New York,23-11-2018,
887,Teirtza Yate,Female,New York,26-08-2018,
897,Tabina Bunyan,Female,New York,17-11-2018,
916,Corri McAline,Female,New York,22-08-2018,
925,Eloisa Backman,Female,New York,01-10-2018,
949,Theresa Asche,Female,New York,26-12-2018,
969,Ciel Arnoll,Female,New York,01-01-2018,
974,Elbertine Knipe,Female,New York,19-02-2019,
977,Lauri Tuminini,Female,New York,02-08-2018,
999,Kirsten Webb-Bowen,Female,New York,14-04-2018,
1002,Annie Horry,Female,New York,09-01-2019,
1004,Isadora Alexsandrovich,Female,New York,05-09-2018,
1013,Camile Isherwood,Female,New York,08-10-2018,
1038,Trista Peye,Female,New York,23-06-2018,
1040,Stesha Scutt,Female,New York,13-09-2018,
1043,Katine Laweles,Female,New York,07-03-2018,
1055,Valli Carruthers,Female,New York,01-03-2018,
1085,Teresita Bremmell,Female,New York,12-02-2018,
1102,Jemie Reast,Female,New York,17-12-2018,
1124,Pansy Allabush,Female,New York,08-05-2018,
1135,Nalani Gaskal,Female,New York,16-11-2018,
1138,Berrie Ogelbe,Female,New York,03-07-2018,
1161,Sarah Orable,Female,New York,23-02-2018,
1162,Albertina O'Sherin,Female,New York,23-09-2018,
1191,Karlee Seagrove,Female,New York,17-12-2018,
1201,Cosette Pietruszka,Female,New York,29-01-2019,
1224,Moyra Fearnyhough,Female,New York,06-01-2019,
1241,Gisele Blessed,Female,New York,01-11-2018,
1252,Nerita Maccrae,Female,New York,02-10-2018,
1301,Gnni holmes,Female,New York,25-02-2018,
1338,Sonni Bradly,Female,New York,22-12-2018,
1352,Elysia Roderham,Female,New York,20-01-2019,
1364,Kania Tchir,Female,New York,03-02-2019,
1369,Maggie Crut,Female,New York,22-01-2018,
1420,Shelbi Moakes,Female,New York,13-07-2018,
1438,Eyde Fairnington,Female,New York,11-02-2019,
1441,Chlo Spires,Female,New York,29-10-2018,
1457,Mahalia Stuke,Female,New York,03-02-2018,
1468,Chlo Seabrocke,Female,New York,19-04-2018,
1479,Ashlie Delong,Female,New York,23-11-2018,
1485,Ivette Nail,Female,New York,16-02-2019,
1492,Madelin Aluard,Female,New York,11-04-2018,
1499,Ninnetta Valentine,Female,New York,18-08-2018,
1516,Valentina Metts,Female,New York,02-01-2019,
1529,Annelise Hilland,Female,New York,02-04-2018,
1550,Kelcey Deporte,Female,New York,29-09-2018,
1551,Talyah Gloyens,Female,New York,03-08-2018,
1580,Roana Chicchetto,Female,New York,28-01-2019,
1617,Hope Lithgow,Female,New York,13-04-2018,
1638,Aloisia Lampens,Female,New York,05-01-2019,
1641,Joanna Eyckel,Female,New York,05-09-2018,
1646,Maye Rysom,Female,New York,15-03-2018,
1647,Shaine Poznan,Female,New York,25-05-2018,
1681,Ariana Stratford,Female,New York,21-11-2018,
1682,Elberta Hayley,Female,New York,13-01-2018,
1720,Marguerite Saward,Female,New York,21-01-2019,
1746,Wendi Duckers,Female,New York,13-09-2018,
1786,Evey Jansen,Female,New York,11-02-2019,
1792,Kenna Nicholl,Female,New York,22-07-2018,
1804,Pollyanna Remmer,Female,New York,23-02-2018,
1807,Daniele Messitt,Female,New York,15-08-2018,
1824,Ella Wallman,Female,New York,21-06-2018,
1833,Maribelle Greenough,Female,New York,03-12-2018,
1834,Rosanna Richardes,Female,New York,22-04-2018,
1847,Lenore Tirrell,Female,New York,30-05-2018,
1866,Eloisa Gligori,Female,New York,27-12-2018,
1888,Luise Kendred,Female,New York,30-06-2018,
1892,Eleanora Taylerson,Female,New York,03-02-2018,
1907,Diana McCarthy,Female,New York,20-08-2018,
1927,Bellina Cuolahan,Female,New York,05-01-2018,
1928,Ruthe Milstead,Female,New York,23-09-2018,
1939,Christen Gritland,Female,New York,18-01-2019,
1940,Zaria Aggott,Female,New York,12-02-2018,
1950,Shelby Porter,Female,New York,25-02-2019,
1951,Brittany Lace,Female,New York,08-03-2018,
1966,Rochella Eddy,Female,New York,22-05-2018,
1969,Ekaterina Gumb,Female,New York,09-11-2018,
1971,Pegeen Santoro,Female,New York,03-08-2018,
1980,Vania Bradnock,Female,New York,24-02-2018,
1994,Mireielle Harvison,Female,New York,14-10-2018,
2013,Garland Kelshaw,Female,New York,29-10-2018,
2017,Jania FitzAlan,Female,New York,20-02-2018,
2031,Juana Hevner,Female,New York,24-11-2018,
2045,Lilli Hafner,Female,New York,03-01-2019,
2057,Reena Sprakes,Female,New York,03-12-2018,
5,Ruthanne Pendre,Female,Baltimore,25-10-2018,
8,Lin Grime,Female,Baltimore,29-09-2018,
62,Dallas Peacey,Female,Baltimore,12-04-2018,
74,Susana Carillo,Female,Baltimore,03-03-2018,
78,Minna Gellion,Female,Baltimore,22-06-2018,
85,Jannelle Rosellini,Female,Baltimore,04-09-2018,
90,Yalonda Gergler,Female,Baltimore,14-07-2018,
91,Odelia Yandell,Female,Baltimore,26-11-2018,
113,Cairistiona Beavon,Female,Baltimore,30-01-2019,
145,Josy Joynes,Female,Baltimore,24-12-2018,
235,Magdaia Anmore,Female,Baltimore,16-07-2018,
245,Othella Chatenier,Female,Baltimore,26-03-2018,
274,Julita Wyeth,Female,Baltimore,10-09-2018,
303,Brita Bleakley,Female,Baltimore,09-08-2018,
321,Josefina Oldknow,Female,Baltimore,19-12-2018,
338,Agnese Whale,Female,Baltimore,11-12-2018,
343,Buffy Perutto,Female,Baltimore,29-01-2018,
366,Carlynn Leeming,Female,Baltimore,19-01-2019,
372,Carlita Sinyard,Female,Baltimore,12-09-2018,
373,Carolann Priestner,Female,Baltimore,17-10-2018,
396,Clarine Potticary,Female,Baltimore,02-09-2018,
455,Charla Kiera,Female,Baltimore,10-12-2018,
479,Sileas Spurr,Female,Baltimore,03-01-2019,
513,Aili Beadell,Female,Baltimore,11-09-2018,
516,Demetria Treneman,Female,Baltimore,12-11-2018,
544,Arlina Shervil,Female,Baltimore,27-03-2018,
560,Goldie Vreiberg,Female,Baltimore,28-12-2018,
620,Lissa Tirte,Female,Baltimore,09-01-2018,
638,Alice Warbey,Female,Baltimore,08-09-2018,
643,Myrlene Bonanno,Female,Baltimore,29-11-2018,
655,Winonah Davio,Female,Baltimore,06-10-2018,
682,Lucy Grishin,Female,Baltimore,06-02-2018,
702,Christal Petz,Female,Baltimore,03-07-2018,
716,Nert Freen,Female,Baltimore,04-10-2018,
725,Cariotta Blazy,Female,Baltimore,04-01-2018,
738,Lizabeth Lilliman,Female,Baltimore,18-08-2018,
743,Fanny Gyrgorcewicx,Female,Baltimore,13-11-2018,
747,Elly Mease,Female,Baltimore,24-06-2018,
802,Minnnie Labadini,Female,Baltimore,09-05-2018,
820,Blaire Smoth,Female,Baltimore,09-11-2018,
844,Perle Hazzard,Female,Baltimore,25-02-2018,
913,Chickie Gatward,Female,Baltimore,03-12-2018,
924,Lela Ginnelly,Female,Baltimore,07-12-2018,
934,Meade Petrasso,Female,Baltimore,02-03-2018,
936,Colette Spellacey,Female,Baltimore,12-01-2019,
940,Aretha Fidge,Female,Baltimore,02-08-2018,
954,Madelina Cowles,Female,Baltimore,23-06-2018,
957,Clementine Sugarman,Female,Baltimore,15-04-2018,
964,Riva Elsay,Female,Baltimore,06-02-2018,
966,Esmeralda Perview,Female,Baltimore,21-07-2018,
972,Katinka Cartledge,Female,Baltimore,24-04-2018,
1026,Elfreda Brickdale,Female,Baltimore,16-03-2018,
1030,Cybil Rawood,Female,Baltimore,10-04-2018,
1033,Lyn Proffer,Female,Baltimore,08-07-2018,
1035,Juli Geist,Female,Baltimore,13-03-2018,
1046,Rebeka Stembridge,Female,Baltimore,01-01-2019,
1073,Mirelle Cambridge,Female,Baltimore,25-10-2018,
1084,Susi Aikman,Female,Baltimore,03-08-2018,
1099,Juanita Cordero,Female,Baltimore,13-06-2018,
1103,Clarisse Arondel,Female,Baltimore,07-09-2018,
1173,Charity Catterill,Female,Baltimore,21-04-2018,
1179,Aime Berkley,Female,Baltimore,06-10-2018,
1195,Marisa De Castri,Female,Baltimore,02-05-2018,
1202,Rosemonde Gradley,Female,Baltimore,19-08-2018,
1207,Stormi Norree,Female,Baltimore,28-02-2019,
1211,Melina Parrin,Female,Baltimore,21-01-2019,
1217,Milicent Racher,Female,Baltimore,27-06-2018,
1226,Eloise Collingworth,Female,Baltimore,19-07-2018,
1238,Arleta Lundon,Female,Baltimore,08-04-2018,
1251,Ronny Dragge,Female,Baltimore,28-10-2018,
1259,Shirl Pere,Female,Baltimore,28-12-2018,
1260,Bettine Paddick,Female,Baltimore,18-01-2019,
1279,Georgina Towns,Female,Baltimore,16-02-2019,
1281,Malina Bernardt,Female,Baltimore,29-08-2018,
1291,Didi Gawke,Female,Baltimore,12-02-2019,
1308,Madelaine Matiewe,Female,Baltimore,29-11-2018,
1310,Norene Hackford,Female,Baltimore,16-07-2018,
1315,Dulcinea Derks,Female,Baltimore,03-07-2018,
1317,Annmaria Teeney,Female,Baltimore,02-11-2018,
1358,Michelle Jumont,Female,Baltimore,13-07-2018,
1361,Marice Kemmis,Female,Baltimore,19-01-2018,
1374,Cher Bruckman,Female,Baltimore,25-04-2018,
1409,Dacy Kift,Female,Baltimore,13-04-2018,
1412,Ruby Pile,Female,Baltimore,07-02-2018,
1421,Reba Thurbon,Female,Baltimore,23-06-2018,
1422,Eliza Blesli,Female,Baltimore,20-05-2018,
1431,Lilyan Ficken,Female,Baltimore,11-01-2018,
1446,Cathy Caustic,Female,Baltimore,28-02-2019,
1447,Maxi Aspenlon,Female,Baltimore,21-02-2019,
1461,Lettie Dorot,Female,Baltimore,20-01-2018,
1471,Corri Delagua,Female,Baltimore,29-06-2018,
1474,Casi Nana,Female,Baltimore,29-07-2018,
1541,Agna Orring,Female,Baltimore,14-10-2018,
1543,Janie Hallford,Female,Baltimore,29-12-2018,
1546,Claudia Le Monnier,Female,Baltimore,27-05-2018,
1558,Robbyn Summerson,Female,Baltimore,13-08-2018,
1564,Denise McDowell,Female,Baltimore,06-07-2018,
1588,Olympia Earie,Female,Baltimore,12-05-2018,
1592,Brooke Strangeway,Female,Baltimore,17-02-2019,
1608,Brande Fabri,Female,Baltimore,04-08-2018,
1648,Lauretta Medcalfe,Female,Baltimore,14-06-2018,
1651,Marcelline Blockwell,Female,Baltimore,20-03-2018,
1707,Liesa Edwins,Female,Baltimore,08-01-2019,
1778,De Ludgrove,Female,Baltimore,08-04-2018,
1787,Geri MacGeaney,Female,Baltimore,22-10-2018,
1789,Pier Scotchmor,Female,Baltimore,06-11-2018,
1815,Barbee Stopforth,Female,Baltimore,02-03-2018,
1821,Devonne Shills,Female,Baltimore,27-10-2018,
1823,Darci Figgs,Female,Baltimore,25-04-2018,
1864,Cathryn Brute,Female,Baltimore,26-05-2018,
1865,Margaux Hansbury,Female,Baltimore,22-12-2018,
1875,Addi Cassie,Female,Baltimore,16-09-2018,
1898,Mari Rough,Female,Baltimore,24-07-2018,
1909,Devan Baitson,Female,Baltimore,21-02-2019,
1918,Berry Medendorp,Female,Baltimore,01-07-2018,
1932,Bobbe Danilenko,Female,Baltimore,22-03-2018,
1945,Ansley Hanster,Female,Baltimore,04-01-2018,
1960,Margaret Mossman,Female,Baltimore,12-12-2018,
1976,Jackquelin Caherny,Female,Baltimore,23-08-2018,
1985,Linnie Bakey,Female,Baltimore,02-03-2018,
1989,Wallis Stainton - Skinn,Female,Baltimore,02-02-2018,
2040,Flossie Van Oort,Female,Baltimore,27-01-2018,
2041,Hannis Franklyn,Female,Baltimore,05-08-2018,
2055,Mattie Trythall,Female,Baltimore,01-02-2018,
2056,Jammie Meltetal,Female,Baltimore,05-01-2018,
2064,Eadith Mellem,Female,Baltimore,06-05-2018,
28,Dell Gligorijevic,Male,Baltimore,20-07-2018,
51,Marsh Iggalden,Male,Baltimore,25-07-2018,
73,Scotti Whewell,Male,Baltimore,01-02-2019,
102,Dallas Ausello,Male,Baltimore,31-03-2018,
105,Rowan Chilver,Male,Baltimore,09-09-2018,
125,Neall Heddon,Male,Baltimore,10-10-2018,
143,Gideon Daborn,Male,Baltimore,02-08-2018,
155,Jackie Proffitt,Male,Baltimore,31-10-2018,
161,Mervin Redley,Male,Baltimore,19-01-2018,
224,Angelo Swedeland,Male,Baltimore,15-08-2018,
249,Bran Elam,Male,Baltimore,19-07-2018,
250,Obie Openshaw,Male,Baltimore,06-08-2018,
282,Corbet Fuggle,Male,Baltimore,12-12-2018,
288,Lonnard Tabor,Male,Baltimore,23-12-2018,
297,Eduardo Handke,Male,Baltimore,23-06-2018,
304,Griswold Flinn,Male,Baltimore,21-08-2018,
305,Matthieu Degoix,Male,Baltimore,27-04-2018,
333,Bryn Meininking,Male,Baltimore,04-10-2018,
347,Monro O'Shaughnessy,Male,Baltimore,21-01-2019,
364,Hiram Wailes,Male,Baltimore,27-01-2018,
381,Emmott Jardine,Male,Baltimore,03-06-2018,
385,Riccardo Thwaites,Male,Baltimore,26-01-2018,
442,Roman Waldrum,Male,Baltimore,04-09-2018,
454,Abe Renny,Male,Baltimore,21-08-2018,
484,Fraser Rentoul,Male,Baltimore,29-05-2018,
486,Karim Woolaghan,Male,Baltimore,01-12-2018,
491,Tim Bazelle,Male,Baltimore,28-08-2018,
515,Cristian Mineghelli,Male,Baltimore,10-01-2018,
523,Quint Tunmore,Male,Baltimore,24-01-2019,
526,Robinet Coners,Male,Baltimore,12-07-2018,
529,Abeu Ronaghan,Male,Baltimore,23-08-2018,
533,Conroy Harbinson,Male,Baltimore,16-05-2018,
549,Benji McCarthy,Male,Baltimore,07-02-2019,
565,Barthel Gilchrest,Male,Baltimore,25-09-2018,
571,Benedick Cosin,Male,Baltimore,01-08-2018,
575,Putnam Henstridge,Male,Baltimore,28-02-2018,
578,Garvey Jarville,Male,Baltimore,28-03-2018,
582,Rab Ffoulkes,Male,Baltimore,25-01-2018,
584,Chad Stainson,Male,Baltimore,16-11-2018,
599,Seward Chalcraft,Male,Baltimore,09-08-2018,
605,Rodd Redshaw,Male,Baltimore,14-09-2018,
624,Mendel Bru,Male,Baltimore,25-07-2018,
644,Benson Dodle,Male,Baltimore,25-09-2018,
666,Sonnie Pietron,Male,Baltimore,16-06-2018,
686,Em Coundley,Male,Baltimore,06-11-2018,
704,Averil Hannabus,Male,Baltimore,05-01-2019,
720,Udell Naris,Male,Baltimore,29-01-2019,
728,Johan Mothersole,Male,Baltimore,19-12-2018,
734,Valentine Juarez,Male,Baltimore,29-11-2018,
746,Trueman Crathern,Male,Baltimore,28-02-2019,
754,Brod Domerc,Male,Baltimore,24-02-2018,
769,Hunfredo Culpan,Male,Baltimore,17-06-2018,
816,Devland Warder,Male,Baltimore,19-03-2018,
828,Lorin Errington,Male,Baltimore,28-10-2018,
832,Hadlee Clewarth,Male,Baltimore,04-02-2018,
842,Porter MacDonell,Male,Baltimore,05-04-2018,
874,Franciskus Meeus,Male,Baltimore,30-01-2019,
909,Dieter Pasek,Male,Baltimore,17-03-2018,
912,Tades Capps,Male,Baltimore,26-11-2018,
942,Raoul Brawson,Male,Baltimore,10-09-2018,
960,Reuben Queenborough,Male,Baltimore,11-04-2018,
970,Wyndham Tomczykiewicz,Male,Baltimore,20-05-2018,
994,Collin Medmore,Male,Baltimore,08-10-2018,
1006,Ingrim Mapstone,Male,Baltimore,06-10-2018,
1032,Barnett Gorini,Male,Baltimore,13-10-2018,
1052,Javier Callard,Male,Baltimore,16-07-2018,
1083,Vaughan Cayford,Male,Baltimore,15-12-2018,
1096,Rollo Cuss,Male,Baltimore,20-05-2018,
1097,Abba Kort,Male,Baltimore,23-02-2018,
1133,Tome Swoffer,Male,Baltimore,28-09-2018,
1158,Evelyn Grinston,Male,Baltimore,17-04-2018,
1166,Thorvald Freear,Male,Baltimore,02-05-2018,
1177,Connie Twyford,Male,Baltimore,22-02-2019,
1184,Drugi McElvine,Male,Baltimore,17-05-2018,
1206,Jeromy Haydn,Male,Baltimore,20-01-2019,
1212,Cal Krochmann,Male,Baltimore,15-11-2018,
